"Date","Price","Open","High","Low","Vol.","Change %"
"03/24/2025","5,767.57","5,718.08","5,775.14","5,718.08","","1.76%"
"03/21/2025","5,667.56","5,630.73","5,670.84","5,603.10","","0.08%"
"03/20/2025","5,662.89","5,646.92","5,711.15","5,632.33","","-0.22%"
"03/19/2025","5,675.29","5,632.37","5,715.33","5,622.20","","1.08%"
"03/18/2025","5,614.66","5,654.53","5,654.53","5,597.76","","-1.07%"
"03/17/2025","5,675.12","5,635.60","5,703.52","5,631.12","","0.64%"
"03/14/2025","5,638.94","5,563.85","5,645.27","5,563.85","","2.13%"
"03/13/2025","5,521.52","5,594.45","5,597.78","5,504.65","","-1.39%"
"03/12/2025","5,599.30","5,624.84","5,642.19","5,546.09","","0.49%"
"03/11/2025","5,572.07","5,603.65","5,636.30","5,528.41","","-0.76%"
"03/10/2025","5,614.56","5,705.37","5,705.37","5,564.02","","-2.70%"
"03/07/2025","5,770.20","5,726.01","5,783.01","5,666.29","","0.55%"
"03/06/2025","5,738.52","5,785.87","5,812.08","5,711.64","","-1.78%"
"03/05/2025","5,842.63","5,781.36","5,860.59","5,742.35","","1.12%"
"03/04/2025","5,778.15","5,811.98","5,865.08","5,732.59","","-1.22%"
"03/03/2025","5,849.72","5,968.33","5,986.09","5,810.91","","-1.76%"
"02/28/2025","5,954.50","5,856.74","5,959.40","5,837.66","","1.59%"
"02/27/2025","5,861.57","5,981.88","5,993.69","5,858.78","","-1.59%"
"02/26/2025","5,956.06","5,970.87","6,009.82","5,932.69","","0.01%"
"02/25/2025","5,955.25","5,982.73","5,992.65","5,908.49","","-0.47%"